Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.32,0.01,0.65,0.135,169,102,136,51.63431620850726,31.532189388569776,-7.177525479334279
0.002,0.32,0.01,0.75,0.115,170,103,124,51.74760541778343,29.477823582095553,0.03502643183681542
0.002,0.32,0.01,0.75,0.12,162,109,130,52.20725711860675,24.567363689925404,-2.817631817483557
0.002,0.32,0.01,0.75,0.125,165,107,127,52.155924503422995,26.09151907956103,-1.3128620642869349
0.002,0.32,0.01,0.75,0.13,171,106,128,52.462353886014355,29.136324458861107,-1.6867594182608858
0.002,0.32,0.01,0.75,0.135,171,102,131,51.912733455987976,31.3928255088054,-3.801088792259777
0.002,0.32,0.01,0.8,0.115,166,107,123,52.23789201687295,25.705345972563077,1.1364360524520833
0.002,0.32,0.01,0.8,0.12,166,107,129,52.3492825044644,26.912276178751192,-2.499537345251057
0.002,0.32,0.01,0.8,0.125,164,106,129,51.86358979952274,26.654260303309197,-3.1219349822775744
0.002,0.32,0.01,0.8,0.13,168,103,128,51.40146542344739,29.645839673178685,-3.149145799629993
0.002,0.32,0.01,0.8,0.135,167,101,131,51.20077204113049,30.541045388537192,-4.860788386824733
0.002,0.32,0.01,0.85,0.115,178,98,120,51.53459901034746,34.92810048247219,1.9204121720676204
0.002,0.32,0.01,0.85,0.12,176,102,129,52.29600639035968,33.35651693656438,-1.963339161783595
0.002,0.32,0.01,0.85,0.125,177,106,129,53.32860054992628,31.281004209416817,-0.6843348395590976
0.002,0.32,0.01,0.85,0.13,181,105,130,53.718963277813984,33.409475608927096,-0.701088926684057
0.002,0.32,0.01,0.85,0.135,178,104,133,53.104854804916016,33.579401945897146,-3.2710146595344103
0.0135,0.003,0.01,0.6,0.115,240,196,163,82.4422360933611,11.161658021459854,22.445036138813034
0.0135,0.003,0.01,0.6,0.12,241,195,163,82.35936425311907,11.818191021196245,22.6032626970045
0.0135,0.003,0.01,0.6,0.125,240,195,163,82.1625458913217,11.547385390194842,22.22271971170986
0.0135,0.003,0.01,0.6,0.13,240,194,162,81.78102378537343,12.08710693938736,22.26617988637272
0.0135,0.003,0.01,0.6,0.135,240,195,162,82.02515875231987,11.638308180407064,22.389487768065596
0.0135,0.003,0.01,0.65,0.115,242,198,162,82.96290569501885,10.646313457071066,23.756260198320845
0.0135,0.003,0.01,0.65,0.12,242,197,164,82.72585247334504,11.6701057087642,22.630064987660493
0.0135,0.003,0.01,0.65,0.125,243,196,164,82.6042505016456,12.194802674638904,22.24603134501908
0.0135,0.003,0.01,0.65,0.13,243,195,163,82.4810055105784,12.3367891546885,22.79032335482709
0.0135,0.003,0.01,0.65,0.135,243,195,163,82.38942336928785,12.540392025786051,22.33871009921067
0.0135,0.003,0.01,0.75,0.115,243,198,160,82.96923280844666,10.859764734218846,24.789165950520918
0.0135,0.003,0.01,0.75,0.12,243,197,161,82.76670979670178,11.53943443539246,23.985552421935232
0.0135,0.003,0.01,0.75,0.125,243,197,161,82.70142603124128,11.552565932286484,24.145319886371254
0.0135,0.003,0.01,0.75,0.13,242,196,161,82.64615886029804,11.539771579500869,24.041277428678633
0.0135,0.003,0.01,0.75,0.135,243,197,161,82.76262217779569,11.609253474670622,24.03882332418248
0.0135,0.003,0.01,0.8,0.115,243,198,162,83.05891379031175,11.122194596287882,24.03174882079384
0.0135,0.003,0.01,0.8,0.12,243,197,162,82.87327411307649,11.580356998404762,23.653544239832524
0.0135,0.003,0.01,0.8,0.125,243,197,162,82.93943676262245,11.59290645526917,23.736140507010006
0.0135,0.003,0.01,0.8,0.13,242,196,162,82.62097940767606,11.619928975980631,23.299093620675883
0.0135,0.003,0.01,0.8,0.135,242,196,162,82.61523828883116,11.563998856102376,23.1686031366785
0.0135,0.003,0.01,0.85,0.115,243,197,160,82.93690148666661,11.246302122577879,25.062695576975493
0.0135,0.003,0.01,0.85,0.12,243,197,160,82.94019273509956,10.980305835571635,24.900839725468593
0.0135,0.003,0.01,0.85,0.125,243,198,160,83.00923656954224,10.688592470568192,24.9290152705796
0.0135,0.003,0.01,0.85,0.13,243,197,161,82.75167328827511,11.46396089523849,23.901992924071468
0.0135,0.003,0.01,0.85,0.135,242,197,162,82.8101846223497,11.256935392244538,23.880031694718262
0.0135,0.02,0.01,0.6,0.115,221,155,135,69.95398401715376,22.184185966194924,20.063618037130215
0.0135,0.02,0.01,0.6,0.12,219,156,135,70.0503873515172,21.060426416772525,20.534497091330085
0.0135,0.02,0.01,0.6,0.125,220,158,135,70.47318939597761,20.207779374153578,21.0617830567438
0.0135,0.02,0.01,0.6,0.13,219,159,135,70.73131083173914,19.66356557046012,21.02994817735442
0.0135,0.02,0.01,0.6,0.135,221,160,139,71.19452930128604,19.955946211976716,19.780278662245323
0.0135,0.02,0.01,0.65,0.115,222,161,134,71.70323569072514,19.077744527334627,23.41206980261599
0.0135,0.02,0.01,0.65,0.12,222,160,133,71.36766954005714,19.446933551396206,23.317612481026085
0.0135,0.02,0.01,0.65,0.125,219,158,133,70.56805899267697,19.635739718370182,22.1439125184872
0.0135,0.02,0.01,0.65,0.13,220,160,132,71.0037654500824,18.713429627877755,23.280454237360804
0.0135,0.02,0.01,0.65,0.135,221,161,134,71.48437705229375,19.032225908350963,22.887511093712387
0.0135,0.02,0.01,0.75,0.115,222,160,130,71.32676558296282,19.49854729620165,24.599393929843117
0.0135,0.02,0.01,0.75,0.12,221,158,132,70.72023948629202,20.50801341794989,22.771879286562637
